"path","sha256","format","references","usageStatus","screens","states","sourcePath","publishedPath","expectedTransparency","finding","priority","verificationStatus","width","height","alphaType","alpha0Ratio","alphaPartialRatio","alpha255Ratio","partialVisibleRatio","minAlpha","maxAlpha","meanAlpha","visibleBounds","pngBitDepth","pngColorType"
"android/app/src/main/res/drawable-v21/background.png","4de450ed61a1312646d787411a47a6126dff9486a2702b38c702fa123ae5cd91","png","web/index.html;ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json","platform resource declaration / generated variant","platform launcher/splash","normal; inspect state-specific rendering","android/app/src/main/res/drawable-v21/background.png","android/app/src/main/res/drawable-v21/background.png","platform icon or splash alpha; native runtime not tested","no alpha defect identified by pixel scan; intended transparency preserved","P1","all pixels decoded ; not in tested Flutter bundle; contact sheet inspection for assets; no live-world claim","1","1","opaque","0.0","0.0","1.0","0.0","255","255","255.0","0,0,1,1","8","2"
"android/app/src/main/res/drawable-v21/launch_bg.png","e5f8a0814bc6be2e015a02be3484485ec4ac973023085871c51ae0dd6ec4c07f","png","lib/ui/layout/xaml/specs/account_ui_spec.dart;lib/ui/layout/xaml/specs/loading_ui_spec.dart;assets/ui/xaml/assets.xaml;pubspec.yaml","platform resource declaration / generated variant","platform launcher/splash","normal; inspect state-specific rendering","android/app/src/main/res/drawable-v21/launch_bg.png","android/app/src/main/res/drawable-v21/launch_bg.png","platform icon or splash alpha; native runtime not tested","no alpha defect identified by pixel scan; intended transparency preserved","P1","all pixels decoded ; not in tested Flutter bundle; contact sheet inspection for assets; no live-world claim","1408","768","opaque","0.0","0.0","1.0","0.0","255","255","255.0","0,0,1408,768","8","6"
"android/app/src/main/res/drawable/background.png","4de450ed61a1312646d787411a47a6126dff9486a2702b38c702fa123ae5cd91","png","web/index.html;ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json","platform resource declaration / generated variant","platform launcher/splash","normal; inspect state-specific rendering","android/app/src/main/res/drawable/background.png","android/app/src/main/res/drawable/background.png","platform icon or splash alpha; native runtime not tested","no alpha defect identified by pixel scan; intended transparency preserved","P1","all pixels decoded ; not in tested Flutter bundle; contact sheet inspection for assets; no live-world claim","1","1","opaque","0.0","0.0","1.0","0.0","255","255","255.0","0,0,1,1","8","2"
"android/app/src/main/res/drawable/launch_image.png","e5f8a0814bc6be2e015a02be3484485ec4ac973023085871c51ae0dd6ec4c07f","png","","platform resource declaration / generated variant","platform launcher/splash","normal; inspect state-specific rendering","android/app/src/main/res/drawable/launch_image.png","android/app/src/main/res/drawable/launch_image.png","platform icon or splash alpha; native runtime not tested","no alpha defect identified by pixel scan; intended transparency preserved","P1","all pixels decoded ; not in tested Flutter bundle; contact sheet inspection for assets; no live-world claim","1408","768","opaque","0.0","0.0","1.0","0.0","255","255","255.0","0,0,1408,768","8","6"
"android/app/src/main/res/mipmap-hdpi/ic_launcher.png","6a7c8f0d703e3682108f9662f813302236240d3f8f638bb391e32bfb96055fef","png","","platform resource declaration / generated variant","platform launcher/splash","normal; inspect state-specific rendering","android/app/src/main/res/mipmap-hdpi/ic_launcher.png","android/app/src/main/res/mipmap-hdpi/ic_launcher.png","platform icon or splash alpha; native runtime not tested","no alpha defect identified by pixel scan; intended transparency preserved","P1","all pixels decoded ; not in tested Flutter bundle; contact sheet inspection for assets; no live-world claim","72","72","graded","0.6927083333333334","0.048032407407407406","0.25925925925925924","0.15630885122410546","0","255","71.2878086419753","11,4,53,64","8","3"
"android/app/src/main/res/mipmap-mdpi/ic_launcher.png","c7c0c0189145e4e32a401c61c9bdc615754b0264e7afae24e834bb81049eaf81","png","","platform resource declaration / generated variant","platform launcher/splash","normal; inspect state-specific rendering","android/app/src/main/res/mipmap-mdpi/ic_launcher.png","android/app/src/main/res/mipmap-mdpi/ic_launcher.png","platform icon or splash alpha; native runtime not tested","no alpha defect identified by pixel scan; intended transparency preserved","P1","all pixels decoded ; not in tested Flutter bundle; contact sheet inspection for assets; no live-world claim","48","48","graded","0.70703125","0.0842013888888889","0.2087673611111111","0.2874074074074074","0","255","64.43229166666667","8,4,34,40","8","3"
"android/app/src/main/res/mipmap-xhdpi/ic_launcher.png","e14aa40904929bf313fded22cf7e7ffcbf1d1aac4263b5ef1be8bfce650397aa","png","","platform resource declaration / generated variant","platform launcher/splash","normal; inspect state-specific rendering","android/app/src/main/res/mipmap-xhdpi/ic_launcher.png","android/app/src/main/res/mipmap-xhdpi/ic_launcher.png","platform icon or splash alpha; native runtime not tested","no alpha defect identified by pixel scan; intended transparency preserved","P1","all pixels decoded ; not in tested Flutter bundle; contact sheet inspection for assets; no live-world claim","96","96","graded","0.6878255208333334","0.037109375","0.2750651041666667","0.11887382690302398","0","255","74.85872395833333","12,4,72,88","8","3"
"android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png","4d470bf22d5c17d84edc5f82516d1ba8a1c09559cd761cefb792f86d9f52b540","png","","platform resource declaration / generated variant","platform launcher/splash","normal; inspect state-specific rendering","android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png","android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png","platform icon or splash alpha; native runtime not tested","no alpha defect identified by pixel scan; intended transparency preserved","P1","all pixels decoded ; not in tested Flutter bundle; contact sheet inspection for assets; no live-world claim","144","144","graded","0.6815200617283951","0.01943479938271605","0.2990451388888889","0.0610236220472441","0","255","78.87307098765432","17,4,110,136","8","3"
"android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png","3c34e1f298d0c9ea3455d46db6b7759c8211a49e9ec6e44b635fc5c87dfb4180","png","","platform resource declaration / generated variant","platform launcher/splash","normal; inspect state-specific rendering","android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png","android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png","platform icon or splash alpha; native runtime not tested","no alpha defect identified by pixel scan; intended transparency preserved","P1","all pixels decoded ; not in tested Flutter bundle; contact sheet inspection for assets; no live-world claim","192","192","graded","0.6691623263888888","0.025336371527777776","0.3055013020833333","0.07658248606100361","0","255","81.321533203125","21,4,150,184","8","3"
"assets/characters/3221.png","6085c9e9c6a2188543ab16e42fa90fd396b1a51a50f0909f27b8a23088aca62d","png","assets/characters/3221.json;assets/data/character_sprites.json","active player atlas","world; remote player","atlas animations and directions","assets/characters/3221.png","assets/characters/3221.png","opaque sprite body; transparent frame padding","no alpha defect identified by pixel scan; intended transparency preserved","P1","all pixels decoded; Flutter bundle decode passed; contact sheet inspection for assets; no live-world claim","802","6603","binary","0.890326055223897","0.0","0.10967394477610305","0.0","0","255","27.96685591790628","0,0,801,6602","8","6"
"assets/characters/female_base_aligned.png","96fc0b9a410660a65b9d0905263fabebf67e0c3a2a2c870bf2d08c9a2cf6d888","png","assets/data/character_sprites.json","legacy bundled asset; current descriptor uses 3221","world; remote player","atlas animations and directions","assets/characters/female_base_aligned.png","assets/characters/female_base_aligned.png","opaque sprite body; transparent frame padding","no alpha defect identified by pixel scan; intended transparency preserved","P1","all pixels decoded; Flutter bundle decode passed; contact sheet inspection for assets; no live-world claim","792","1064","graded","0.5553431400470874","0.18786668375484164","0.25679017619807093","0.42249811185806513","0","255","73.43148947178553","18,5,769,1056","8","6"
"assets/characters/female_death.png","d3ae07016630da3b4e08eb35c23d5938c6157b4cbd73fc12a3ff11a507282054","png","","legacy bundled asset; current descriptor uses 3221","world; remote player","atlas animations and directions","assets/characters/female_death.png","assets/characters/female_death.png","opaque sprite body; transparent frame padding","no alpha defect identified by pixel scan; intended transparency preserved","P1","all pixels decoded; Flutter bundle decode passed; contact sheet inspection for assets; no live-world claim","768","1024","graded","0.5675430297851562","0.11144256591796875","0.321014404296875","0.2576963110632818","0","255","96.54739379882812","2,9,764,1014","8","6"
